1,Samsung Galaxy A13 5G,ROM 64GB RAM LPDDR4X 4GB,"6990"
2,Samsung Galaxy Z Flip4 Bespoke Edition,ROM 256GB RAM 8GB,"39900"
3,Samsung Galaxy Z Flip4 8GB+512GB,ROM 512GB RAM 8GB,"44900"
4,Samsung Galaxy Z Flip4 8GB+256GB ,ROM 256GB RAM 8GB,"38900"
5,Samsung Galaxy Z Flip4 8GB+128GB,ROM 128GB RAM 8GB,"35900"
6,Samsung Galaxy Z Fold4 12GB+1TB,ROM 1TB RAM 12GB,"75900"
7,Samsung Galaxy Z Fold4 12GB+512GB,ROM 512GB RAM 12GB,"65900"
8,Samsung Galaxy Z Fold4 12GB+256GB,ROM 256GB RAM 12GB,"59900"
9,Samsung Galaxy M53 5G,ROM 128GB RAM 8GB,"12499"
10,Samsung Galaxy A73 5G,ROM 128GB RAM 8GB,"16499"
11,Samsung Galaxy A53 5G,ROM 128GB RAM 8GB,"14499"
12,Samsung Galaxy A33 5G,ROM 128GB RAM 8GB,"11199"
13,Samsung Galaxy A13,ROM 128GB RAM 4GB,"5999"
14,Samsung Galaxy A03,ROM 64GB RAM 4GB,"4399"
15,Samsung Galaxy S22 Ultra 12GB+512GB,ROM 512GB RAM 12GB,"43900"
16,Samsung Galaxy S22 Ultra 12GB+256GB,ROM 256GB RAM 12GB,"39900"
17,Samsung Galaxy S22 Ultra 8GB+128GB,ROM 128GB RAM 8GB,"35900"
18,Samsung Galaxy S22+ 8GB+256GB,ROM 256GB RAM 8GB,"32900"
19,Samsung Galaxy S22+ 8GB+128GB,ROM 128GB RAM 8GB,"30900"
20,Samsung Galaxy S22 8GB+256GB,ROM 256GB RAM 8GB,"27900"
21,Samsung Galaxy S22 8GB+128GB,ROM 128GB RAM LPDDR5 8GB,"25900"
22,Samsung Galaxy S21 FE 5G 8GB+256GB,ROM 256GB RAM LPDDR5 8GB,"25900"
23,Samsung Galaxy S21 FE 5G 8GB+128GB,ROM 128GB RAM LPDDR5 8GB,"22900"
24,Samsung Galaxy A52s 5G,ROM 128GB RAM 8GB microSD 1TB,"13499"
25,Samsung Galaxy A03s,ROM 64GB RAM 4GB microSD 1TB,"4299"
26,Samsung Galaxy Z Flip3 5G 8GB+256GB,ROM 256GB RAM LPDDR5 8GB,"33900"
27,Samsung Galaxy Z Flip3 5G 8GB+128GB,ROM 128GB RAM LPDDR5 8GB,"31900"
28,Samsung Galaxy Z Fold3 5G 12GB+512GB,ROM 512GB RAM LPDDR5 12GB,"61900"
29,Samsung Galaxy Z Fold3 5G 12GB+256GB,ROM 256GB RAM LPDDR5 12GB,"39900"
30,Samsung Galaxy A22,ROM 128GB RAM LPDDR4X 6GB microSD 1TB,"6999"
31,Samsung Galaxy A22 5G,ROM 128GB RAM LPDDR4X 8GB microSD 1TB,"7299"
32,Samsung Galaxy S21 Ultra 5G 16GB+512GB,ROM 512GB RAM LPDDR5 16GB,"41900"
33,Samsung Galaxy S21 Ultra 5G 12GB+256GB,ROM 256GB RAM LPDDR5 12GB,"37900"
34,Samsung Galaxy S21 Ultra 5G 12GB+128GB,ROM 128GB RAM LPDDR5 12GB,"39900"
35,Samsung Galaxy S21+ 5G 8GB+256GB,ROM 256GB RAM LPDDR5 8GB,"32900"
36,Samsung Galaxy S21+ 5G 8GB+128GB,ROM 128GB RAM LPDDR5 8GB,"33900"
37,Samsung Galaxy S21 5G 8GB+256GB,ROM 256GB RAM LPDDR5 8GB,"26900"
38,Samsung Galaxy S21 5G 8GB+128GB,ROM 128GB RAM LPDDR5 8GB,"24900"
39,Samsung Galaxy A12,ROM 128GB RAM 4GB microSD 1TB,"5299"
40,Samsung Galaxy A02s,ROM 64GB RAM 4GB microSD 1TB,"3999"
41,Samsung Galaxy A42 5G,ROM 128GB RAM 8GB microSD 1TB,"10999"
42,Samsung Galaxy A11,ROM 32GB RAM 3GB microSD 512GB,"3499"
43,Samsung Galaxy Note20 Ultra 5G,ROM 256 or 512GB RAM  LPDDR5 12GB microSD 1TB,"32900"
44,Samsung Galaxy Note20 Ultra LTE,ROM 256 or 512GB RAM  LPDDR5 12GB microSD 1TB,"38900"
45,Samsung Galaxy Note20 5G,ROM 256GB RAM LPDDR5 8GB,"23900"
46,Samsung Galaxy Note20 LTE,ROM 256GB RAM LPDDR5 8GB,"29900"
47,Samsung Galaxy A31,ROM 128GB RAM 6GB microSD 512GB,8999
48,Samsung Galaxy Z Flip,ROM 256GB RAM 8GB,"27900"
49,Samsung Galaxy S20 Ultra 5G,ROM 128GB RAM LPDDR5 12GB microSD 1TB,"36900"
50,Samsung Galaxy S20+,ROM 128GB RAM LPDDR5 8GB microSD 1TB,"29500"
